Category: All categories

Week,Bitcoin Cash: (Worldwide)
2018-05-27,22
2018-06-03,26
2018-06-10,23
2018-06-17,22
2018-06-24,19
2018-07-01,17
2018-07-08,18
2018-07-15,22
2018-07-22,21
2018-07-29,21
2018-08-05,22
2018-08-12,22
2018-08-19,20
2018-08-26,20
2018-09-02,22
2018-09-09,20
2018-09-16,20
2018-09-23,24
2018-09-30,17
2018-10-07,16
2018-10-14,17
2018-10-21,16
2018-10-28,20
2018-11-04,42
2018-11-11,73
2018-11-18,46
2018-11-25,35
2018-12-02,27
2018-12-09,20
2018-12-16,40
2018-12-23,27
2018-12-30,21
2019-01-06,19
2019-01-13,16
2019-01-20,15
2019-01-27,16
2019-02-03,14
2019-02-10,16
2019-02-17,17
2019-02-24,17
2019-03-03,17
2019-03-10,15
2019-03-17,17
2019-03-24,15
2019-03-31,35
2019-04-07,24
2019-04-14,27
2019-04-21,21
2019-04-28,22
2019-05-05,21
2019-05-12,37
2019-05-19,28
2019-05-26,29
2019-06-02,23
2019-06-09,23
2019-06-16,26
2019-06-23,34
2019-06-30,23
2019-07-07,24
2019-07-14,23
2019-07-21,20
2019-07-28,20
2019-08-04,21
2019-08-11,20
2019-08-18,19
2019-08-25,17
2019-09-01,18
2019-09-08,17
2019-09-15,18
2019-09-22,19
2019-09-29,17
2019-10-06,16
2019-10-13,15
2019-10-20,17
2019-10-27,18
2019-11-03,19
2019-11-10,19
2019-11-17,20
2019-11-24,18
2019-12-01,17
2019-12-08,16
2019-12-15,16
2019-12-22,19
2019-12-29,20
2020-01-05,22
2020-01-12,28
2020-01-19,23
2020-01-26,23
2020-02-02,27
2020-02-09,26
2020-02-16,24
2020-02-23,24
2020-03-01,20
2020-03-08,25
2020-03-15,30
2020-03-22,25
2020-03-29,25
2020-04-05,34
2020-04-12,25
2020-04-19,26
2020-04-26,27
2020-05-03,29
2020-05-10,29
2020-05-17,23
2020-05-24,21
2020-05-31,20
2020-06-07,20
2020-06-14,20
2020-06-21,23
2020-06-28,18
2020-07-05,22
2020-07-12,23
2020-07-19,23
2020-07-26,29
2020-08-02,28
2020-08-09,26
2020-08-16,27
2020-08-23,22
2020-08-30,23
2020-09-06,21
2020-09-13,20
2020-09-20,20
2020-09-27,19
2020-10-04,19
2020-10-11,20
2020-10-18,23
2020-10-25,21
2020-11-01,23
2020-11-08,28
2020-11-15,34
2020-11-22,41
2020-11-29,30
2020-12-06,23
2020-12-13,36
2020-12-20,45
2020-12-27,57
2021-01-03,93
2021-01-10,92
2021-01-17,56
2021-01-24,52
2021-01-31,56
2021-02-07,80
2021-02-14,98
2021-02-21,66
2021-02-28,47
2021-03-07,45
2021-03-14,43
2021-03-21,36
2021-03-28,40
2021-04-04,47
2021-04-11,91
2021-04-18,73
2021-04-25,57
2021-05-02,100
2021-05-09,77
2021-05-16,65
2021-05-23,51
2021-05-30,48
2021-06-06,36
2021-06-13,29
2021-06-20,28
2021-06-27,24
2021-07-04,22
2021-07-11,21
2021-07-18,21
2021-07-25,25
2021-08-01,25
2021-08-08,29
2021-08-15,29
2021-08-22,27
2021-08-29,30
2021-09-05,27
2021-09-12,23
2021-09-19,22
2021-09-26,23
2021-10-03,26
2021-10-10,28
2021-10-17,32
2021-10-24,33
2021-10-31,31
2021-11-07,34
2021-11-14,28
2021-11-21,26
2021-11-28,24
2021-12-05,24
2021-12-12,24
2021-12-19,22
2021-12-26,25
2022-01-02,26
2022-01-09,25
2022-01-16,25
2022-01-23,28
2022-01-30,25
2022-02-06,26
2022-02-13,25
2022-02-20,23
2022-02-27,25
2022-03-06,23
2022-03-13,22
2022-03-20,25
2022-03-27,24
2022-04-03,22
2022-04-10,22
2022-04-17,21
2022-04-24,18
2022-05-01,19
2022-05-08,24
2022-05-15,18
2022-05-22,18
2022-05-29,17
2022-06-05,16
2022-06-12,22
2022-06-19,19
2022-06-26,21
2022-07-03,18
2022-07-10,18
2022-07-17,18
2022-07-24,19
2022-07-31,17
2022-08-07,17
2022-08-14,17
2022-08-21,18
2022-08-28,17
2022-09-04,16
2022-09-11,16
2022-09-18,16
2022-09-25,16
2022-10-02,15
2022-10-09,15
2022-10-16,14
2022-10-23,14
2022-10-30,15
2022-11-06,17
2022-11-13,15
2022-11-20,14
2022-11-27,14
2022-12-04,13
2022-12-11,14
2022-12-18,13
2022-12-25,15
2023-01-01,15
2023-01-08,15
2023-01-15,14
2023-01-22,15
2023-01-29,15
2023-02-05,13
2023-02-12,14
2023-02-19,14
2023-02-26,13
2023-03-05,13
2023-03-12,15
2023-03-19,15
2023-03-26,17
2023-04-02,14
2023-04-09,15
2023-04-16,14
2023-04-23,14
2023-04-30,13
2023-05-07,14
2023-05-14,13
2023-05-21,12
