Category: All categories

Week,Internet Computer: (Worldwide)
2021-05-16,100
2021-05-23,76
2021-05-30,69
2021-06-06,77
2021-06-13,62
2021-06-20,63
2021-06-27,60
2021-07-04,54
2021-07-11,53
2021-07-18,53
2021-07-25,57
2021-08-01,56
2021-08-08,61
2021-08-15,57
2021-08-22,57
2021-08-29,59
2021-09-05,57
2021-09-12,63
2021-09-19,66
2021-09-26,68
2021-10-03,67
2021-10-10,62
2021-10-17,66
2021-10-24,62
2021-10-31,55
2021-11-07,68
2021-11-14,58
2021-11-21,58
2021-11-28,62
2021-12-05,66
2021-12-12,60
2021-12-19,43
2021-12-26,40
2022-01-02,67
2022-01-09,71
2022-01-16,76
2022-01-23,79
2022-01-30,75
2022-02-06,78
2022-02-13,94
2022-02-20,92
2022-02-27,93
2022-03-06,99
2022-03-13,91
2022-03-20,82
2022-03-27,85
2022-04-03,80
2022-04-10,67
2022-04-17,74
2022-04-24,75
2022-05-01,63
2022-05-08,70
2022-05-15,70
2022-05-22,70
2022-05-29,66
2022-06-05,73
2022-06-12,65
2022-06-19,65
2022-06-26,65
2022-07-03,63
2022-07-10,49
2022-07-17,56
2022-07-24,49
2022-07-31,49
2022-08-07,46
2022-08-14,50
2022-08-21,61
2022-08-28,63
2022-09-04,68
2022-09-11,72
2022-09-18,78
2022-09-25,72
2022-10-02,72
2022-10-09,76
2022-10-16,68
2022-10-23,62
2022-10-30,62
2022-11-06,65
2022-11-13,66
2022-11-20,59
2022-11-27,66
2022-12-04,69
2022-12-11,64
2022-12-18,55
2022-12-25,52
2023-01-01,56
2023-01-08,61
2023-01-15,67
2023-01-22,68
2023-01-29,70
2023-02-05,68
2023-02-12,67
2023-02-19,73
2023-02-26,71
2023-03-05,72
2023-03-12,76
2023-03-19,71
2023-03-26,69
2023-04-02,61
2023-04-09,58
2023-04-16,63
2023-04-23,65
2023-04-30,59
2023-05-07,62
2023-05-14,59
2023-05-21,59
