Category: All categories

Week,Polygon: (Worldwide)
2019-04-28,46
2019-05-05,45
2019-05-12,44
2019-05-19,42
2019-05-26,37
2019-06-02,34
2019-06-09,39
2019-06-16,37
2019-06-23,34
2019-06-30,32
2019-07-07,33
2019-07-14,32
2019-07-21,32
2019-07-28,34
2019-08-04,32
2019-08-11,33
2019-08-18,38
2019-08-25,34
2019-09-01,37
2019-09-08,42
2019-09-15,42
2019-09-22,41
2019-09-29,39
2019-10-06,37
2019-10-13,42
2019-10-20,40
2019-10-27,37
2019-11-03,40
2019-11-10,40
2019-11-17,45
2019-11-24,36
2019-12-01,40
2019-12-08,43
2019-12-15,39
2019-12-22,28
2019-12-29,29
2020-01-05,39
2020-01-12,42
2020-01-19,41
2020-01-26,43
2020-02-02,43
2020-02-09,46
2020-02-16,42
2020-02-23,46
2020-03-01,47
2020-03-08,42
2020-03-15,40
2020-03-22,44
2020-03-29,55
2020-04-05,61
2020-04-12,65
2020-04-19,70
2020-04-26,67
2020-05-03,64
2020-05-10,60
2020-05-17,57
2020-05-24,49
2020-05-31,68
2020-06-07,79
2020-06-14,86
2020-06-21,89
2020-06-28,84
2020-07-05,79
2020-07-12,70
2020-07-19,66
2020-07-26,62
2020-08-02,49
2020-08-09,50
2020-08-16,53
2020-08-23,56
2020-08-30,57
2020-09-06,57
2020-09-13,62
2020-09-20,63
2020-09-27,56
2020-10-04,54
2020-10-11,47
2020-10-18,41
2020-10-25,41
2020-11-01,34
2020-11-08,39
2020-11-15,41
2020-11-22,38
2020-11-29,43
2020-12-06,44
2020-12-13,40
2020-12-20,34
2020-12-27,32
2021-01-03,41
2021-01-10,40
2021-01-17,44
2021-01-24,43
2021-01-31,45
2021-02-07,46
2021-02-14,41
2021-02-21,47
2021-02-28,50
2021-03-07,52
2021-03-14,52
2021-03-21,51
2021-03-28,44
2021-04-04,45
2021-04-11,49
2021-04-18,50
2021-04-25,72
2021-05-02,65
2021-05-09,81
2021-05-16,100
2021-05-23,92
2021-05-30,72
2021-06-06,68
2021-06-13,61
2021-06-20,47
2021-06-27,44
2021-07-04,50
2021-07-11,43
2021-07-18,43
2021-07-25,42
2021-08-01,43
2021-08-08,50
2021-08-15,47
2021-08-22,47
2021-08-29,51
2021-09-05,51
2021-09-12,53
2021-09-19,50
2021-09-26,49
2021-10-03,52
2021-10-10,44
2021-10-17,50
2021-10-24,56
2021-10-31,50
2021-11-07,54
2021-11-14,50
2021-11-21,56
2021-11-28,56
2021-12-05,64
2021-12-12,52
2021-12-19,49
2021-12-26,53
2022-01-02,89
2022-01-09,72
2022-01-16,79
2022-01-23,82
2022-01-30,77
2022-02-06,88
2022-02-13,82
2022-02-20,83
2022-02-27,90
2022-03-06,92
2022-03-13,90
2022-03-20,91
2022-03-27,90
2022-04-03,87
2022-04-10,72
2022-04-17,78
2022-04-24,78
2022-05-01,68
2022-05-08,73
2022-05-15,66
2022-05-22,61
2022-05-29,52
2022-06-05,55
2022-06-12,51
2022-06-19,50
2022-06-26,45
2022-07-03,43
2022-07-10,46
2022-07-17,51
2022-07-24,44
2022-07-31,46
2022-08-07,42
2022-08-14,40
2022-08-21,48
2022-08-28,46
2022-09-04,48
2022-09-11,56
2022-09-18,56
2022-09-25,50
2022-10-02,48
2022-10-09,48
2022-10-16,50
2022-10-23,47
2022-10-30,54
2022-11-06,55
2022-11-13,51
2022-11-20,42
2022-11-27,49
2022-12-04,46
2022-12-11,46
2022-12-18,38
2022-12-25,34
2023-01-01,40
2023-01-08,56
2023-01-15,54
2023-01-22,52
2023-01-29,57
2023-02-05,62
2023-02-12,62
2023-02-19,61
2023-02-26,67
2023-03-05,66
2023-03-12,59
2023-03-19,59
2023-03-26,58
2023-04-02,51
2023-04-09,52
2023-04-16,57
2023-04-23,57
2023-04-30,55
2023-05-07,55
2023-05-14,57
2023-05-21,50
