Category: All categories

Week,Chainlink: (Worldwide)
2018-05-27,4
2018-06-03,4
2018-06-10,5
2018-06-17,4
2018-06-24,5
2018-07-01,4
2018-07-08,4
2018-07-15,4
2018-07-22,4
2018-07-29,5
2018-08-05,4
2018-08-12,4
2018-08-19,4
2018-08-26,3
2018-09-02,3
2018-09-09,3
2018-09-16,4
2018-09-23,3
2018-09-30,3
2018-10-07,3
2018-10-14,3
2018-10-21,4
2018-10-28,5
2018-11-04,5
2018-11-11,5
2018-11-18,3
2018-11-25,4
2018-12-02,3
2018-12-09,3
2018-12-16,3
2018-12-23,3
2018-12-30,4
2019-01-06,4
2019-01-13,6
2019-01-20,4
2019-01-27,3
2019-02-03,3
2019-02-10,4
2019-02-17,4
2019-02-24,3
2019-03-03,3
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,5
2019-04-07,5
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,7
2019-05-12,9
2019-05-19,12
2019-05-26,10
2019-06-02,6
2019-06-09,14
2019-06-16,15
2019-06-23,31
2019-06-30,29
2019-07-07,18
2019-07-14,12
2019-07-21,10
2019-07-28,10
2019-08-04,9
2019-08-11,9
2019-08-18,10
2019-08-25,9
2019-09-01,7
2019-09-08,8
2019-09-15,9
2019-09-22,9
2019-09-29,8
2019-10-06,16
2019-10-13,9
2019-10-20,11
2019-10-27,10
2019-11-03,7
2019-11-10,10
2019-11-17,9
2019-11-24,6
2019-12-01,7
2019-12-08,6
2019-12-15,6
2019-12-22,4
2019-12-29,6
2020-01-05,9
2020-01-12,10
2020-01-19,7
2020-01-26,8
2020-02-02,10
2020-02-09,19
2020-02-16,18
2020-02-23,14
2020-03-01,16
2020-03-08,15
2020-03-15,11
2020-03-22,8
2020-03-29,9
2020-04-05,15
2020-04-12,17
2020-04-19,15
2020-04-26,15
2020-05-03,14
2020-05-10,14
2020-05-17,14
2020-05-24,11
2020-05-31,15
2020-06-07,12
2020-06-14,13
2020-06-21,17
2020-06-28,13
2020-07-05,29
2020-07-12,59
2020-07-19,28
2020-07-26,29
2020-08-02,54
2020-08-09,100
2020-08-16,68
2020-08-23,34
2020-08-30,31
2020-09-06,24
2020-09-13,21
2020-09-20,27
2020-09-27,18
2020-10-04,15
2020-10-11,15
2020-10-18,17
2020-10-25,17
2020-11-01,16
2020-11-08,20
2020-11-15,24
2020-11-22,24
2020-11-29,19
2020-12-06,17
2020-12-13,20
2020-12-20,25
2020-12-27,33
2021-01-03,54
2021-01-10,52
2021-01-17,60
2021-01-24,51
2021-01-31,52
2021-02-07,63
2021-02-14,67
2021-02-21,49
2021-02-28,41
2021-03-07,41
2021-03-14,40
2021-03-21,30
2021-03-28,35
2021-04-04,39
2021-04-11,61
2021-04-18,46
2021-04-25,41
2021-05-02,74
2021-05-09,60
2021-05-16,48
2021-05-23,44
2021-05-30,30
2021-06-06,25
2021-06-13,23
2021-06-20,23
2021-06-27,20
2021-07-04,19
2021-07-11,18
2021-07-18,16
2021-07-25,20
2021-08-01,21
2021-08-08,21
2021-08-15,23
2021-08-22,22
2021-08-29,23
2021-09-05,32
2021-09-12,24
2021-09-19,21
2021-09-26,23
2021-10-03,22
2021-10-10,22
2021-10-17,26
2021-10-24,30
2021-10-31,25
2021-11-07,32
2021-11-14,24
2021-11-21,24
2021-11-28,23
2021-12-05,24
2021-12-12,19
2021-12-19,19
2021-12-26,21
2022-01-02,35
2022-01-09,31
2022-01-16,23
2022-01-23,22
2022-01-30,22
2022-02-06,21
2022-02-13,18
2022-02-20,19
2022-02-27,17
2022-03-06,16
2022-03-13,18
2022-03-20,19
2022-03-27,22
2022-04-03,16
2022-04-10,16
2022-04-17,16
2022-04-24,16
2022-05-01,16
2022-05-08,23
2022-05-15,18
2022-05-22,13
2022-05-29,16
2022-06-05,19
2022-06-12,18
2022-06-19,15
2022-06-26,15
2022-07-03,13
2022-07-10,12
2022-07-17,13
2022-07-24,12
2022-07-31,12
2022-08-07,15
2022-08-14,13
2022-08-21,11
2022-08-28,11
2022-09-04,12
2022-09-11,12
2022-09-18,11
2022-09-25,18
2022-10-02,14
2022-10-09,13
2022-10-16,12
2022-10-23,12
2022-10-30,14
2022-11-06,16
2022-11-13,15
2022-11-20,11
2022-11-27,14
2022-12-04,13
2022-12-11,11
2022-12-18,10
2022-12-25,10
2023-01-01,10
2023-01-08,11
2023-01-15,12
2023-01-22,11
2023-01-29,11
2023-02-05,12
2023-02-12,11
2023-02-19,12
2023-02-26,10
2023-03-05,10
2023-03-12,11
2023-03-19,13
2023-03-26,12
2023-04-02,12
2023-04-09,14
2023-04-16,14
2023-04-23,12
2023-04-30,11
2023-05-07,10
2023-05-14,10
2023-05-21,10
