Category: All categories

Week,Stacks: (Worldwide)
2019-11-03,75
2019-11-10,71
2019-11-17,75
2019-11-24,69
2019-12-01,69
2019-12-08,69
2019-12-15,70
2019-12-22,69
2019-12-29,77
2020-01-05,70
2020-01-12,70
2020-01-19,70
2020-01-26,68
2020-02-02,68
2020-02-09,68
2020-02-16,63
2020-02-23,67
2020-03-01,67
2020-03-08,62
2020-03-15,63
2020-03-22,74
2020-03-29,72
2020-04-05,70
2020-04-12,67
2020-04-19,73
2020-04-26,57
2020-05-03,71
2020-05-10,64
2020-05-17,60
2020-05-24,63
2020-05-31,64
2020-06-07,71
2020-06-14,71
2020-06-21,65
2020-06-28,82
2020-07-05,69
2020-07-12,74
2020-07-19,69
2020-07-26,66
2020-08-02,64
2020-08-09,64
2020-08-16,66
2020-08-23,65
2020-08-30,62
2020-09-06,68
2020-09-13,70
2020-09-20,70
2020-09-27,68
2020-10-04,67
2020-10-11,66
2020-10-18,100
2020-10-25,89
2020-11-01,63
2020-11-08,71
2020-11-15,66
2020-11-22,65
2020-11-29,61
2020-12-06,59
2020-12-13,57
2020-12-20,55
2020-12-27,57
2021-01-03,59
2021-01-10,55
2021-01-17,56
2021-01-24,63
2021-01-31,59
2021-02-07,58
2021-02-14,62
2021-02-21,63
2021-02-28,59
2021-03-07,58
2021-03-14,59
2021-03-21,56
2021-03-28,60
2021-04-04,66
2021-04-11,62
2021-04-18,57
2021-04-25,56
2021-05-02,59
2021-05-09,59
2021-05-16,59
2021-05-23,54
2021-05-30,56
2021-06-06,55
2021-06-13,54
2021-06-20,57
2021-06-27,58
2021-07-04,57
2021-07-11,59
2021-07-18,59
2021-07-25,54
2021-08-01,53
2021-08-08,52
2021-08-15,52
2021-08-22,54
2021-08-29,53
2021-09-05,52
2021-09-12,55
2021-09-19,57
2021-09-26,53
2021-10-03,59
2021-10-10,59
2021-10-17,55
2021-10-24,55
2021-10-31,53
2021-11-07,54
2021-11-14,53
2021-11-21,56
2021-11-28,49
2021-12-05,55
2021-12-12,49
2021-12-19,51
2021-12-26,54
2022-01-02,51
2022-01-09,53
2022-01-16,56
2022-01-23,55
2022-01-30,56
2022-02-06,55
2022-02-13,56
2022-02-20,54
2022-02-27,53
2022-03-06,53
2022-03-13,51
2022-03-20,53
2022-03-27,53
2022-04-03,53
2022-04-10,50
2022-04-17,51
2022-04-24,54
2022-05-01,53
2022-05-08,50
2022-05-15,53
2022-05-22,49
2022-05-29,50
2022-06-05,52
2022-06-12,51
2022-06-19,53
2022-06-26,51
2022-07-03,51
2022-07-10,49
2022-07-17,50
2022-07-24,49
2022-07-31,50
2022-08-07,50
2022-08-14,50
2022-08-21,50
2022-08-28,46
2022-09-04,52
2022-09-11,48
2022-09-18,49
2022-09-25,47
2022-10-02,45
2022-10-09,48
2022-10-16,46
2022-10-23,44
2022-10-30,46
2022-11-06,46
2022-11-13,49
2022-11-20,43
2022-11-27,43
2022-12-04,45
2022-12-11,46
2022-12-18,44
2022-12-25,48
2023-01-01,46
2023-01-08,44
2023-01-15,45
2023-01-22,46
2023-01-29,48
2023-02-05,46
2023-02-12,46
2023-02-19,52
2023-02-26,51
2023-03-05,47
2023-03-12,46
2023-03-19,49
2023-03-26,45
2023-04-02,45
2023-04-09,43
2023-04-16,46
2023-04-23,45
2023-04-30,44
2023-05-07,45
2023-05-14,44
2023-05-21,43
